vehicle_id,rncan_source_id,rncan_resource_id,rncan_source_row_id,selection_hash,stratum,stratum_rank,_id,Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
vq_bdb4c2d376063554eeb36fb9,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13769,0b84743d651cf9b620c8748ae043fdfd,pickup|automatic,3,13769,2025,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.7,12.0,12.9,22,303,4,6
vq_b256fa4328d2b036f44be95f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13788,0455f148897d5c47d371df984cc5dba9,suv|automatic,2,13788,2025,Chevrolet,Tahoe 4WD,Sport utility vehicle: Standard,5.3,8,A10,X,15.9,12.5,14.4,20,337,3,6
vq_6c3bca11cd29478af812eefa,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13790,084be08ce75560b5fab2842fc2ce4818,suv|continuously_variable,3,13790,2025,Chevrolet,Trailblazer,Sport utility vehicle: Small,1.2,3,AV,X,7.8,7.7,7.8,36,183,6,6
vq_2dfafc986316b285ff8774a8,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13795,7a8a3a3e69f6de7311b4faa8f152bb97,wagon|automatic,1,13795,2025,Chevrolet,Trax,Station wagon: Small,1.2,3,A6,X,8.5,7.6,8.1,35,190,6,6
vq_c14191efdd623fb9b852f27f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13796,33385f67da0c5eca17ef9188af2f46d7,van|automatic,1,13796,2025,Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,5,6
vq_6425442f007ed66f8c59beb6,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13797,65dc40d3e7cc6030a97782954cf375ee,van|automatic,2,13797,2025,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,5,6
vq_b8b71b9c7428f024b840a9d2,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13798,835131f5907351adb887f73f07f2d5ef,van|automatic,3,13798,2025,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,12.0,24,279,4,6
vq_54b65c10bd232420d644f7da,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13809,0ddc47450af0e1acd2fabce2dd470f56,suv|manual,1,13809,2025,Ford,Bronco 4WD,Sport utility vehicle: Small,2.3,4,M7,X,12.9,11.0,12.1,23,291,4,6
vq_4c5ce00f5cc88798a2bbba45,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13813,a89015365671b6da586f4ccd4d17488c,suv|manual,2,13813,2025,Ford,Bronco Badlands 4WD,Sport utility vehicle: Small,2.3,4,M7,X,13.9,12.9,13.5,21,326,3,6
vq_a5bf1b68717954580b4f7375,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13844,ecb90f85b7d541daa6b9131dcbaf2193,pickup|continuously_variable,2,13844,2025,Ford,Maverick Hybrid,Pickup truck: Small,2.5,4,AV,X,5.6,6.7,6.2,46,145,7,7
vq_f6a988c1de583b2d94f19ba8,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13845,0ebd4f18c34b2d26b5e6dbf62d62dddd,pickup|continuously_variable,1,13845,2025,Ford,Maverick Hybrid AWD,Pickup truck: Small,2.5,4,AV,X,5.8,6.9,6.3,45,148,7,7
vq_5a8e700ff97cedbe41bffaf8,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13887,006fb971f6437fac54dd4f99e63a5f6a,suv|automatic,1,13887,2025,GMC,Terrain AWD,Sport utility vehicle: Small,1.5,4,A8,X,10.0,8.4,9.3,30,219,5,6
vq_2c5bff58d39346816cecd9dc,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13856,006c4f9812e695da64f0ab8c34921ce5,passenger_car|automatic_select_shift,1,13856,2025,Genesis,G70 AWD,Compact,3.3,6,AS8,Z,14.3,10.7,12.7,22,298,4,4
vq_1282292d4713e82ef0a574fa,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13908,d8d796d042ef64f80b946a6e1b62ae36,wagon|continuously_variable,3,13908,2025,Honda,HR-V,Station wagon: Small,2.0,4,AV,X,9.1,7.4,8.3,34,194,6,6
vq_18f452bf0b5da4131027f417,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13910,01f22420a702a1fb95a6cb609fdad2bb,van|automatic_select_shift,1,13910,2025,Honda,Odyssey,Minivan,3.5,6,AS10,X,12.2,8.5,10.6,27,248,5,4
vq_e5a3dcd5bf8de1e1d0b7fa8f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13912,02654c0fa668b5841caf93211074ca3b,suv|automatic_select_shift,3,13912,2025,Honda,Pilot AWD,Sport utility vehicle: Standard,3.5,6,AS10,X,12.4,9.3,11.0,26,258,4,6
vq_19ea7fdafe86aae37b22098a,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13915,114a596421703b88ef888df2af93efcd,pickup|automatic_select_shift,3,13915,2025,Honda,Ridgeline AWD,Pickup truck: Standard,3.5,6,AS9,X,12.8,9.9,11.5,25,271,4,4
vq_abc3ca5034a023e325fdd7ea,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13918,051793a1e477a0fd789bc4a3f5a9ec58,passenger_car|continuously_variable,2,13918,2025,Hyundai,Elantra,Mid-size,2.0,4,AV1,X,7.7,5.9,6.9,41,160,7,6
vq_62131cefa0e8674bbbd16638,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13961,1aaa8b322b43af78abf12b141cd8b04e,van|automatic_select_shift,2,13961,2025,Kia,Carnival,Minivan,3.5,6,AS8,X,12.9,8.8,11.1,25,260,4,5
vq_d6186fa069465e67b2608709,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13962,213b594e7ee9ad27df99b36c18739d19,van|automated_manual,1,13962,2025,Kia,Carnival Hybrid,Minivan,1.6,4,AM6,X,6.9,7.6,7.2,39,170,6,6
vq_0d79821ccf725504c0a9287f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13967,0bda5e4d625c86fbafab0abe7e97f370,suv|automated_manual,1,13967,2025,Kia,Niro FE,Sport utility vehicle: Small,1.6,4,AM6,X,4.5,4.4,4.4,64,104,8,6
vq_4e0daab1291c86a2345198dc,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13968,07c610fc6b2acd1cdd15491fcab1c8d8,suv|continuously_variable,2,13968,2025,Kia,Seltos,Sport utility vehicle: Small,2.0,4,AV8,X,8.3,6.8,7.6,37,179,6,6
vq_7ac84c63f312c10630a00822,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14007,113c59bd03cd4c1e9267c071d8286e55,passenger_car|automatic_select_shift,4,14007,2025,Lexus,ES 250 AWD,Mid-size,2.5,4,AS8,X,9.6,7.0,8.4,34,198,6,5
vq_d8408651395ccc884ee41ce7,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14124,0db44299e8d292c3a93af98f864145fb,suv|automated_manual,2,14124,2025,MINI,John Cooper Works Countryman ALL4,Sport utility vehicle: Small,2.0,4,AM7,Z,10.2,7.9,9.2,31,212,5,5
vq_c4f340425ccef39a58efb041,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14068,09df5f3c65df590b225e2ce0e3ed5430,passenger_car|manual,3,14068,2025,Mazda,MX-5 (SIL),Two-seater,2.0,4,M6,Z,9.0,7.0,8.1,35,189,6,2
vq_7a9a1974f437316b8edf2f21,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14075,1e1df2ce721ee967fd11297e24a676b5,wagon|automated_manual,1,14075,2025,Mercedes-Benz,AMG GLA 35 4MATIC Coupe,Station wagon: Small,2.0,4,AM8,Z,10.9,8.4,9.8,29,230,5,5
vq_ee3e8a708fcc3a6ee98ece3b,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14076,355eb9023f1727c0068d9f8437d94709,wagon|automated_manual,3,14076,2025,Mercedes-Benz,AMG GLB 35 4MATIC Coupe,Station wagon: Small,2.0,4,AM8,Z,11.5,8.9,10.3,27,242,5,5
vq_648e5b981296c302dd9349b4,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14078,c33950ea87d641a1ca4bf9a44335ada6,wagon|automatic,3,14078,2025,Mercedes-Benz,AMG GLC 43 4MATIC Coupe,Station wagon: Small,2.0,4,A9,Z,12.7,9.8,11.4,25,269,4,4
vq_51f520ab9833ccec01dc09b3,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14077,a96f80966e9f41eec8a079b26ca26d40,wagon|automatic,2,14077,2025,Mercedes-Benz,AMG GLC 43 4MATIC+ SUV,Station wagon: Small,2.0,4,A9,Z,12.6,9.4,11.2,25,263,4,4
vq_d4add4957aa8c2cbd1d773de,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14089,1153e6797d4d7cd12a40edda32aabfa8,passenger_car|automatic,2,14089,2025,Mercedes-Benz,AMG SL 43 4MATIC Roadster,Minicompact,2.0,4,A9,Z,12.2,8.8,10.7,26,249,5,4
vq_e157beb2caac214f93426c48,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14092,1dc3c598abfb1697dc5a33152a04f46b,passenger_car|automatic,4,14092,2025,Mercedes-Benz,C 300 4MATIC Sedan,Compact,2.0,4,A9,Z,10.0,7.1,8.7,32,204,5,7
vq_76fe99212f6730d26cd6a243,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14095,0233d91d07651f44e6baf3afad8180f2,passenger_car|automatic,1,14095,2025,Mercedes-Benz,CLE 300 4MATIC Coupe,Subcompact,2.0,4,A9,Z,9.8,7.1,8.6,33,201,6,7
vq_8e1960ab6fb37be465668bbc,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14109,0528f426f02d86d76c4bdb8b54ae4fae,suv|automatic,3,14109,2025,Mercedes-Benz,GLS 580 4MATIC SUV,Sport utility vehicle: Standard,4.0,8,A9,Z,16.6,12.1,14.6,19,340,3,4
vq_de95885293dd4c118cdf3166,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14113,15ee2ce603f90ad6aa5f6eab7b9d89db,passenger_car|automatic,3,14113,2025,Mercedes-Benz,S 500 4MATIC Sedan,Full-size,3.0,6,A9,Z,11.2,7.7,9.6,29,226,5,6
vq_86826e0f23d597fe7df62ef2,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14136,10329efeae2e3dd9bb21c6898a6cac68,pickup|automatic_select_shift,2,14136,2025,Nissan,Frontier 4WD PRO-4X,Pickup truck: Standard,3.8,6,AS9,X,14.3,11.5,13.0,22,306,4,5
vq_f84dc4782ea63d815ba02f25,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14146,00d73f0b3a681822a8b9e5c78f85c147,passenger_car|continuously_variable,1,14146,2025,Nissan,Sentra SR,Mid-size,2.0,4,AV,X,7.4,6.1,6.9,41,161,7,6
vq_69e8e73423b793e7e0990baf,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14156,036bc28dacd61a0f2017bb8993bd9ef2,passenger_car|automated_manual,1,14156,2025,Porsche,718 Boxster S,Two-seater,2.5,4,AM7,Z,12.2,9.2,10.9,26,255,5,1
vq_5a9198a0f9181594158578ad,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14161,047ff28fa168bc9304d413d7c55d4eba,passenger_car|manual,1,14161,2025,Porsche,718 Cayman,Two-seater,2.0,4,M6,Z,12.0,9.5,10.9,26,254,5,1
vq_a708a06f8c25a30ef6569cad,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14164,095b56d042caa65bab01c439966eb8c1,passenger_car|automated_manual,3,14164,2025,Porsche,718 Cayman GTS,Two-seater,4.0,6,AM7,Z,12.3,9.8,11.1,25,260,4,4
vq_0c7ede5d86b1662d65258a8f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14163,0e4ab3972930fee9e4a71059f68b14cf,passenger_car|manual,4,14163,2025,Porsche,718 Cayman S,Two-seater,2.5,4,M6,Z,12.5,9.6,11.2,25,263,4,1
vq_de1247c511055e97475b2a99,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14178,06b6cb5b4025b263b0b609249a7fb81e,passenger_car|automated_manual,2,14178,2025,Porsche,911 GT3,Two-seater,4.0,6,AM7,Z,16.5,13.4,15.1,19,355,3,5
vq_3af81a9ea991d853eb45a17d,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14194,05ca817e5b1ac36513a051863c073a61,suv|automatic_select_shift,4,14194,2025,Porsche,Cayenne Turbo GT Coupe,Sport utility vehicle: Standard,4.0,8,AS8,Z,15.5,11.8,13.8,20,324,3,2
vq_7a38821cbd0c5452ccb19e0e,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14196,0e4f989879a8b91d1b84fc4625073295,suv|automated_manual,3,14196,2025,Porsche,Macan T,Sport utility vehicle: Small,2.0,4,AM7,Z,12.2,9.6,11.0,26,259,4,4
vq_dce656cc16b52d9bd788d04f,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14225,4d53929a616843a9e8dc32a8d446c133,wagon|continuously_variable,1,14225,2025,Subaru,Impreza AWD,Station wagon: Small,2.5,4,AV8,X,9.0,7.2,8.2,34,191,6,6
vq_e030ba8f35cba84377a3400b,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14228,04f7218c3fd1a53d46fe9582a44ad02d,suv|continuously_variable,1,14228,2025,Subaru,Outback Wilderness AWD,Sport utility vehicle: Small,2.4,4,AV8,X,11.0,9.0,10.1,28,235,5,5
vq_7ad8c381e7e15140ec0c6bf9,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14239,07ad269bf875fc93de66be80a76c8cc0,passenger_car|continuously_variable,3,14239,2025,Toyota,Corolla (3-mode),Compact,2.0,4,AV10,X,7.6,5.9,6.8,42,160,7,6
vq_7de1f8d75515f5f6351dac83,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14247,05451f5e532653c8af91440e99f8095a,passenger_car|automatic_select_shift,3,14247,2025,Toyota,Crown AWD,Mid-size,2.4,4,AS6,X,8.1,7.3,7.8,36,182,6,6
vq_5fe259e2a13ebc469a8e7b90,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14260,000d56393c8ceabcd6283648b7d0050c,suv|automatic_select_shift,1,14260,2025,Toyota,Highlander AWD,Sport utility vehicle: Small,2.4,4,AS8,X,11.0,8.4,9.9,29,231,5,6
vq_d7b7d2466a8e6859a425d514,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14271,8836e5278aba07a3b1cb71e3e16d21dd,van|continuously_variable,2,14271,2025,Toyota,Sienna,Minivan,2.5,4,AV,X,6.6,6.5,6.6,43,153,7,6
vq_04eba74e2eb669c236d1c815,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14272,649778ca24ab09c0111fe0090a8572ea,van|continuously_variable,1,14272,2025,Toyota,Sienna AWD,Minivan,2.5,4,AV,X,6.8,6.7,6.8,42,158,7,6
vq_177d61b87fd431407d6a290a,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14275,7e099a2db0a8ae4ce25e3e8e046e8329,pickup|manual,1,14275,2025,Toyota,Tacoma 4WD,Pickup truck: Small,2.4,4,M6,X,13.2,10.3,11.9,24,279,4,4
vq_70c831f1ff6d1bb77a12b15d,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14280,0c18b18de6eb02ed04cd284535e171e7,pickup|automatic_select_shift,1,14280,2025,Toyota,Tundra 4WD (3-mode)/TRD,Pickup truck: Standard,3.4,6,AS10,X,13.5,10.6,12.2,23,286,4,4
vq_c6984532a08b28bcb894e122,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14288,0ab024cef0913a8232a2423a2b2031a4,passenger_car|automated_manual,4,14288,2025,Volkswagen,Golf R,Compact,2.0,4,AM7,Z,10.5,7.7,9.3,30,217,5,4
vq_05635c454f2f01081999f4aa,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,14298,1a3ca92645e9585b318245adb51c545c,wagon|automatic_select_shift,1,14298,2025,Volvo,V90 CC B6 AWD,Station wagon: Mid-size,2.0,4,AS8,Z,10.7,8.1,9.5,30,223,5,6
