variable,type,unit,description,data_role,primary_source,derivation_or_rule,missingness_policy,quality_checks
fuel_type_code_rncan_2,character,,Deuxième code de carburant RNCan pour certaines ressources PHEV.,observed,RNCan,Colonne Fuel type 2 lorsqu’elle existe.,Conserver NA.,Comparer au code officiel.
powertrain_group,character,,Groupe pédagogique; repérage textuel des hybrides non exhaustif.,derived,Projet,"BEV/PHEV selon la ressource; HEV si Hybrid, Hybride ou HEV est explicite dans le modèle; sinon carburant. gasoline peut inclure des hybrides dont le nom ne le précise pas.",Ne pas inférer un hybride sans indice explicite.,Vocabulaire contrôlé; HEV signalé comme dérivé du texte.
engine_size_l,double,L,Cylindrée du moteur thermique.,observed,RNCan,Colonne Engine size (L).,NA normal pour BEV.,"Valeur positive et plage de révision 0,1–10 L."
cylinders,integer,cylindres,Nombre de cylindres RNCan.,observed,RNCan,Colonne Cylinders.,NA normal pour BEV.,Entier positif plausible.
motor_kw,double,kW,Puissance de pointe du moteur électrique lorsqu’elle est publiée.,observed,RNCan BEV/PHEV,Colonne Motor (kW).,Conserver NA.,Valeur positive.
transmission,character,,Code de transmission RNCan original.,observed,RNCan,Colonne Transmission.,Conserver NA.,Code source conservé.
transmission_type,character,,Type de transmission décodé.,derived,Projet,"Préfixes RNCan A, AM, AS, AV et M selon le guide.",unknown si code non reconnu.,Vocabulaire contrôlé.
transmission_gears,integer,rapports,"Suffixe numérique du code de transmission, lorsqu’il existe.",derived,Projet,Entier final du code RNCan lorsqu’il existe.,"NA si aucun suffixe numérique; un code AV peut avoir un suffixe, à ne pas assimiler automatiquement à des engrenages physiques.",Entier positif.
drive_type,character,,Rouage détecté uniquement si un jeton explicite figure dans le modèle.,derived,Projet,"Regex stricte pour AWD, 4WD, 4X4, FWD ou RWD; aucune interprétation de noms commerciaux.",Conserver NA en cas d’ambiguïté.,Vocabulaire contrôlé.
drive_type_origin,character,,Origine du champ drive_type.,derived,Projet,derived_from_explicit_model_token ou NA.,Conserver NA.,Cohérence avec drive_type.
body_type,character,,Type de carrosserie détaillé.,unknown,Aucune source centrale vérifiée,Non fourni par les deux sources principales; ne pas confondre avec vehicle_class ou le code AU de la SAAQ.,Toujours NA sauf enrichissement sourcé.,Exiger source_other et règle documentée.
body_type_origin,character,,Origine du type de carrosserie.,derived,Projet,unknown_core_sources par défaut.,Jamais remplacé silencieusement.,Cohérence avec body_type.
city_l_per_100km,double,L/100 km,Cote de consommation en ville.,observed,RNCan,Colonne City (L/100 km).,NA pour BEV ou source non applicable.,"Valeur positive; plage de révision 0,5–50."
highway_l_per_100km,double,L/100 km,Cote de consommation sur route.,observed,RNCan,Colonne Highway (L/100 km).,NA pour BEV ou source non applicable.,"Valeur positive; plage de révision 0,5–50."
combined_l_per_100km,double,L/100 km,Cote combinée de consommation de carburant liquide.,observed,RNCan,Colonne Combined (L/100 km); ne contient pas les Le/100 km électriques.,Conserver NA.,"Doit généralement se situer entre ville et route, avec tolérance d’arrondi."
combined_mpg_source,double,milles par gallon impérial,Cote combinée mpg telle que publiée.,observed,RNCan,Colonne Combined (mpg).,Conserver NA.,Positive.
combined_mpg,double,milles par gallon impérial,Cote combinée utilisée pour l’enseignement.,observed_or_derived,RNCan/Projet,"Valeur source; si absente et option activée, 282,48 / combined_l_per_100km.",Origine obligatoire dans combined_mpg_origin.,Comparer à la formule officielle.
combined_mpg_origin,character,,"Indique si combined_mpg est observée, dérivée ou inconnue.",derived,Projet,"observed_rncan, derived_282.48_divided_by_combined_l_per_100km ou unknown.",Jamais manquant conceptuellement.,Vocabulaire contrôlé.
city_kwh_per_100km,double,kWh/100 km,Consommation électrique en ville.,observed,RNCan BEV/PHEV,Colonne électrique correspondante lorsqu’elle existe.,Conserver NA.,Valeur positive.
highway_kwh_per_100km,double,kWh/100 km,Consommation électrique sur route.,observed,RNCan BEV/PHEV,Colonne électrique correspondante lorsqu’elle existe.,Conserver NA.,Valeur positive.
combined_kwh_per_100km,double,kWh/100 km,"Cote électrique combinée : totalité pour BEV, composante électrique du mode mixte pour PHEV.",observed,RNCan BEV/PHEV,Champ direct ou nombre en kWh dans une annotation de type kWh/100 km ou [kWh + L]/100 km.,Conserver NA.,Valeur positive; aucune conversion depuis Le/100 km.
city_le_per_100km,double,Le/100 km,Équivalent litres d’essence en ville.,observed,RNCan BEV/PHEV,"Colonne City (Le/100 km), distincte de L/100 km.",Conserver NA.,Ne pas mélanger avec city_l_per_100km.
highway_le_per_100km,double,Le/100 km,Équivalent litres d’essence sur route.,observed,RNCan BEV/PHEV,Colonne Highway (Le/100 km).,Conserver NA.,Ne pas mélanger avec highway_l_per_100km.
combined_le_per_100km,double,Le/100 km,Équivalent litres d’essence combiné.,observed,RNCan BEV/PHEV,Premier nombre observé de la colonne Combined (Le/100 km); la portion kWh/100 km éventuelle est extraite séparément.,Conserver NA.,Ne pas mélanger avec combined_l_per_100km.
electric_range_km,double,km,Autonomie électrique ou première autonomie publiée.,observed,RNCan BEV/PHEV,Range (km) ou Range 1 (km).,Conserver NA.,Valeur positive.
secondary_range_km,double,km,Deuxième autonomie publiée dans certaines ressources PHEV.,observed,RNCan PHEV,Range 2 (km) si présent.,Conserver NA.,Valeur positive.
recharge_time_h,double,heures,Temps estimé de recharge publié.,observed,RNCan BEV/PHEV,Colonne Recharge time (h).,Conserver NA.,Valeur non négative.
co2_g_per_km,double,g/km,Émissions de CO2 à l’échappement pour la cote combinée.,observed,RNCan,Colonne CO2 emissions (g/km); ce n’est pas une analyse du cycle de vie.,Conserver NA.,Plage de révision 0–1000.
co2_rating,double,échelle 1–10,"Cote CO2, 1 étant la moins favorable et 10 la meilleure.",observed,RNCan,Colonne CO2 rating.,"Conserver NA, notamment pour certaines années anciennes.",Entier ou valeur sur 1–10.
smog_rating,double,échelle 1–10,Cote des polluants contribuant au smog.,observed,RNCan,Colonne Smog rating.,Conserver NA.,Entier ou valeur sur 1–10.
number_registered_qc,integer,véhicules,Nombre de véhicules autorisés à circuler au Québec attribuable à la configuration.,joined_derived,SAAQ + jointure,Somme de lignes SAAQ dans un groupe; copiée seulement si le groupe aboutit à une configuration RNCan unique et admissible.,NA pour toute jointure absente ou ambiguë; ne jamais répartir un compte.,Entier non négatif; grain documenté.
registration_count_grain,character,,Grain auquel number_registered_qc est valide.,derived,Projet,Texte explicite de la règle de jointure unique.,NA si aucun compte.,Doit être présent si le compte est présent.
region_qc,character,,Région du compte SAAQ.,observed_or_derived,SAAQ/Projet,ALL_QC pour l’agrégat provincial; les régions administratives sont dans la table régionale séparée.,NA sans compte joint.,Vocabulaire et cohérence avec le grain.
saaq_snapshot_year,integer,année,Année du portrait SAAQ au 31 décembre.,observed_joined,SAAQ,Colonne AN du fichier joint.,NA sans jointure.,Correspondre au millésime source.
saaq_class_code,character,,Code CLAS SAAQ du ou des groupes joints.,observed_joined,SAAQ,Valeur ou liste délimitée par point-virgule lorsque plusieurs groupes disjoints sont agrégés.,NA sans jointure.,Code source conservé.
saaq_vehicle_type_code,character,,Code de type physique SAAQ.,observed_joined,SAAQ,TYP_VEH_CATEG_USA; le cœur du projet utilise AU.,NA sans jointure.,Code source conservé.
saaq_make_code,character,,Code SAAQ de marque associé au ou aux groupes appariés.,observed_joined,SAAQ,Valeur administrative MARQ_VEH; plusieurs codes sont concaténés avec un point-virgule si nécessaire.,NA sans jointure exacte; ne pas interpréter comme libellé complet sans correspondance.,Traçabilité vers saaq_group_id et table agrégée SAAQ.
saaq_model_code,character,,Code SAAQ de modèle associé au ou aux groupes appariés.,observed_joined,SAAQ,Valeur administrative MODEL_VEH; plusieurs codes sont concaténés avec un point-virgule si nécessaire.,NA sans jointure exacte; ne pas interpréter comme libellé complet sans correspondance.,Traçabilité vers saaq_group_id et table agrégée SAAQ.
saaq_fuel_code,character,,Code de carburant SAAQ.,observed_joined,SAAQ,"TYP_CARBU, disponible à partir de 2017 dans ces fichiers.",NA sans jointure ou valeur source manquante.,Code source conservé.
saaq_mass_net_kg_mean,double,kg,Moyenne pondérée de la masse nette des groupes SAAQ joints.,joined_derived,SAAQ/Projet,Moyenne des masses SAAQ pondérée par les comptes des groupes exacts.,NA si indisponible ou non joint.,Valeur finie et positive.
saaq_mass_net_kg_min,double,kg,Masse nette minimale observée dans les groupes SAAQ joints.,joined_derived,SAAQ,"Minimum des valeurs observées, sans imputation.",NA si indisponible.,Valeur finie et positive.
saaq_mass_net_kg_max,double,kg,Masse nette maximale observée dans les groupes SAAQ joints.,joined_derived,SAAQ,"Maximum des valeurs observées, sans imputation.",NA si indisponible.,Supérieure ou égale au minimum.
saaq_group_count,integer,groupes,Nombre de groupes SAAQ disjoints agrégés dans le compte.,derived,Projet,Nombre distinct de saaq_group_id joints à la configuration.,NA sans jointure.,Entier positif.
saaq_group_id,character,,Identifiant(s) déterministe(s) des groupes SAAQ.,derived,Projet,SHA-256 tronqué des dimensions du groupe; plusieurs identifiants sont séparés par un point-virgule.,NA sans jointure.,Traçabilité vers l’agrégat SAAQ.
join_method,character,,Méthode d’appariement appliquée.,derived,Projet,Taxonomie explicite; aucune distance textuelle floue dans la jointure admise.,Toujours renseigné.,Vocabulaire contrôlé.
join_quality,character,,Résultat qualitatif de la jointure.,derived,Projet,"exact_unique_full_specs, exact_unique_partial_specs, not_matched, not_matched_or_ambiguous, etc.",Toujours renseigné.,Cohérence avec compte et statut Québec.
join_candidate_count,integer,candidats,Nombre de configurations candidates examinées pour le groupe joint.,derived,Projet,Maximum du nombre de candidats des groupes exacts.,NA sans tentative pertinente.,Entier non négatif.
qc_presence_status,character,,Niveau de preuve de présence québécoise au grain de la ligne.,derived,Projet,confirmed_by_exact_audited_join ou unconfirmed.,Toujours renseigné.,Ne jamais présenter unconfirmed comme immatriculé.
source_saaq,character,URL,Fiche ou ressource SAAQ ayant soutenu les champs joints.,provenance,SAAQ,Renseignée seulement pour un appariement admis.,NA sans jointure.,URL valide.
source_rncan,character,URL,Page de ressource RNCan de la ligne.,provenance,RNCan,Provient du manifeste de sources épinglé.,Ne devrait pas être NA.,URL valide.
source_other,character,URL,Source facultative d’enrichissement.,provenance,Autre source,NA tant qu’aucun enrichissement n’est activé.,Conserver NA.,URL et licence obligatoires si renseigné.
rncan_source_family,character,,"Famille RNCan : standard, BEV ou PHEV.",provenance,RNCan,Valeur du manifeste.,Ne devrait pas être NA.,Vocabulaire contrôlé.
rncan_source_id,character,,Identifiant interne de la ressource dans le manifeste.,provenance,Projet,Clé config/sources.yml.,Ne devrait pas être NA.,Doit exister dans le manifeste.
rncan_resource_id,character,UUID,Identifiant de ressource CKAN RNCan.,provenance,RNCan,Valeur épinglée dans config/sources.yml.,Ne devrait pas être NA.,Format UUID.
rncan_source_row_id,character,,Identifiant ou localisateur de la ligne dans la collecte RNCan.,observed_provenance,RNCan,"Champ _id/id du DataStore; à défaut, nom de page brute et rang local sous la forme page.json#n.",Devrait être non manquant; un drapeau est produit sinon.,Unicité conjointement avec rncan_source_id; traçabilité vers les pages brutes.
make_key,character,,Clé de marque normalisée pour la jointure.,derived,Projet,"Translittération ASCII, majuscules, ponctuation réduite; alias seulement via table sourcée.",Conserver NA.,Ne pas afficher comme libellé officiel.
model_key,character,,Clé de modèle normalisée pour la jointure.,derived,Projet,"Translittération ASCII, majuscules et espaces; les versions sont conservées.",Conserver NA.,Ne pas afficher comme libellé officiel.
data_quality_flag,character,,Liste de drapeaux de qualité séparés par point-virgule.,derived,Projet,Règles non destructives; un drapeau ne corrige pas la donnée.,"NA signifie aucun drapeau déclenché, pas qualité parfaite.",Vocabulaire documenté.
notes,character,,Note interprétative sur la preuve québécoise et la jointure.,derived,Projet,Texte généré selon le statut de jointure.,Toujours renseigné.,Cohérence avec qc_presence_status.
small_sample_rule,character,,Règle ayant sélectionné une ligne du petit jeu.,derived,Projet,"Phase 1 gloutonne pour couvrir les catégories demandées, puis remplissage en tourniquet déterministe par classe, motorisation et période; priorité Québec utilisée comme bris d’égalité ou dans chaque strate.",Présent seulement dans le petit jeu.,Aucune sélection manuelle de marque ou modèle; vérifier small_sample_coverage.csv.
model_year_era,character,,Période utilisée pour l’échantillonnage pédagogique.,derived,Projet,"1995_2004, 2005_2014, 2015_2018, 2019_2022 ou 2023_plus.",Présent dans le petit jeu.,Vocabulaire contrôlé.
pedagogical_powertrain,character,,Regroupement de motorisation utilisé pour l’échantillonnage.,derived,Projet,"BEV, PHEV, HEV_text_derived, gasoline, diesel ou other.",Présent dans le petit jeu.,Vocabulaire contrôlé.
blended_l_per_100km,double,L/100 km,"Composante de carburant liquide du mode mixte électrique-essence PHEV, lorsqu’elle est explicitement publiée dans l’annotation.",observed_from_annotation,RNCan,Nombre suivant le signe + dans une annotation de type [kWh + L]/100 km.,NA sans annotation explicite; distinct de combined_l_per_100km en mode essence seul.,Valeur non négative; conserver le zéro explicitement publié.
